CO_MUNICIPIO,ANO,POPULACAO
2104404,2001,16533
2104503,2001,8959
2104552,2001,11182
2104602,2001,14846
2104628,2001,6486
2104651,2001,12050
2104677,2001,27175
2104701,2001,6087
2104800,2001,48227
2104909,2001,12670
2105005,2001,21412
2105104,2001,21626
2105153,2001,10115
2105203,2001,9661
2105302,2001,230768
2105351,2001,13689
2105401,2001,42637
2105427,2001,24084
2105450,2001,4907
2105476,2001,10099
2105500,2001,24732
2105609,2001,14551
2105658,2001,5720
2105708,2001,40732
2105807,2001,9790
2105906,2001,14014
2105922,2001,9557
2105948,2001,8489
2105963,2001,8352
2105989,2001,5864
2106003,2001,10798
2106102,2001,9304
2106201,2001,5722
2106300,2001,13212
2106326,2001,15215
2106359,2001,7153
2106375,2001,7826
2106409,2001,11948
2106508,2001,19826
2106607,2001,26573
2106631,2001,7532
2106672,2001,5056
2106706,2001,19882
2106755,2001,16349
2106805,2001,13144
2106904,2001,26101
2107001,2001,10461
2107100,2001,14144
2107209,2001,8377
2107258,2001,3998
2107308,2001,4440
2107357,2001,15120
2107407,2001,17130
2107456,2001,10112
2107506,2001,80371
2107605,2001,17468
2107704,2001,18079
2107803,2001,32907
2107902,2001,14805
2108009,2001,15550
2108058,2001,11628
2108108,2001,16554
2108207,2001,40405
2108256,2001,18993
2108306,2001,30410
2108405,2001,13038
2108454,2001,17811
2108504,2001,27668
2108603,2001,68945
2108702,2001,24809
2108801,2001,15499
2108900,2001,22121
2109007,2001,17070
2109056,2001,6312
2109106,2001,40136
2109205,2001,10905
2109239,2001,5143
2109270,2001,13896
2109304,2001,10679
2109403,2001,11172
2109452,2001,17542
2109502,2001,21037
2109551,2001,6629
2109601,2001,33894
2109700,2001,5147
2109759,2001,4833
2109809,2001,31393
2109908,2001,68588
2110005,2001,74999
2110039,2001,21528
2110104,2001,29411
2110203,2001,25361
2110237,2001,11707
2110278,2001,9656
2110302,2001,14143
2110401,2001,16843
2110500,2001,32277
2110609,2001,23959
2110658,2001,6449
2110708,2001,33690
2110807,2001,5007
2110856,2001,7288
2110906,2001,12815
2111003,2001,19321
2111029,2001,13731
2111052,2001,10596
2111078,2001,15013
2111102,2001,23285
2111201,2001,111884
2111250,2001,7476
2111300,2001,889129
2111409,2001,22427
2111508,2001,35361
2111532,2001,10940
2111573,2001,4079
2111607,2001,14776
2111631,2001,6641
2111672,2001,4409
2111706,2001,18664
2111722,2001,8323
2111748,2001,7835
2111763,2001,15968
2111789,2001,8203
2111805,2001,15305
2111904,2001,10394
2111953,2001,4367
2112001,2001,6388
2112100,2001,26786
2112209,2001,131821
2112233,2001,16477
2112274,2001,5520
2112308,2001,35789
2112407,2001,31996
2112456,2001,17303
2112506,2001,38338
2112605,2001,17470
2112704,2001,34876
2112803,2001,44241
2112852,2001,6824
2112902,2001,30718
2113009,2001,32173
2114007,2001,47088
2200053,2001,5246
2200103,2001,5319
2200202,2001,14790
2200251,2001,6717
2200277,2001,4736
2200301,2001,11947
2200400,2001,36581
2200459,2001,4215
2200509,2001,16900
2200608,2001,6864
2200707,2001,7257
2200806,2001,2798
2200905,2001,6032
2200954,2001,
2201002,2001,4872
2201051,2001,6955
2201101,2001,9745
2201150,2001,7987
2201176,2001,4074
2201200,2001,41227
2201309,2001,3125
2201408,2001,6882
2201507,2001,24534
2201556,2001,2942
2201572,2001,2439
2201606,2001,9659
2201705,2001,5050
2201739,2001,8825
2201770,2001,5296
2201804,2001,4247
2201903,2001,16099
2201919,2001,4542
2201929,2001,4868
2201945,2001,5478
2201960,2001,7272
2201988,2001,4098
2202000,2001,18546
2202026,2001,7404
2202059,2001,8608
2202075,2001,2681
2202083,2001,6125
2202091,2001,5488
2202109,2001,5037
2202117,2001,4502
2202133,2001,4984
2202174,2001,5851
2202208,2001,42850
2202251,2001,4119
2202307,2001,18409
2202406,2001,10030
2202455,2001,3272
2202505,2001,8786
2202539,2001,4929
2202554,2001,4083
2202604,2001,18290
2202653,2001,4293
2202703,2001,24318
2202711,2001,4236
2202729,2001,5267
2202737,2001,3456
2202752,2001,5109
2202778,2001,7292
2202802,2001,5017
2202851,2001,4438
2202901,2001,23507
2203008,2001,6555
2203107,2001,9389
2203206,2001,9695
2203230,2001,4276
2203255,2001,3736
2203271,2001,4158
2203305,2001,12744
2203354,2001,6062
2203404,2001,6070
2203420,2001,4284
2203453,2001,9079
2203503,2001,14971
2203602,2001,4145
2203701,2001,34376
2203750,2001,4659
2203800,2001,4322
2203859,2001,2426
2203909,2001,54962
2204006,2001,5247
2204105,2001,5263
2204154,2001,2363
2204204,2001,7041
2204303,2001,10090
2204352,2001,4854
2204402,2001,10378
2204501,2001,10401
2204550,2001,4260
2204600,2001,3714
2204659,2001,8018
2204709,2001,14568
2204808,2001,8528
2204907,2001,7662
2205003,2001,10349
2205102,2001,10263
2205151,2001,5713
2205201,2001,16089
2205250,2001,3940
2205276,2001,4321
2205300,2001,4557
2205359,2001,2947
2205409,2001,13113
2205458,2001,4383
2205508,2001,33235
2205516,2001,4477
2205524,2001,4947
2205532,2001,4060
2205540,2001,2245
2205557,2001,7025
2205565,2001,4545
2205573,2001,5869
2205581,2001,3573
2205599,2001,4197
2205607,2001,5621
2205706,2001,24503
2205805,2001,23841
2205854,2001,6889
2205904,2001,5125
2205953,2001,6344
2206001,2001,4308
2206050,2001,6035
2206100,2001,9868
2206209,2001,30104
2206308,2001,1382
2206357,2001,7110
2206407,2001,10392
2206506,2001,6812
2206605,2001,10332
2206654,2001,4478
2206670,2001,6189
2206696,2001,6394
2206704,2001,7793
2206720,2001,
2206753,2001,3893
2206803,2001,7346
2206902,2001,6766
2206951,2001,3153
2207009,2001,34138
2207108,2001,2247
2207207,2001,7237
2207306,2001,4156
2207355,2001,2827
2207405,2001,5279
2207504,2001,12270
2207553,2001,4386
2207603,2001,9423
2207702,2001,134122
2207751,2001,4179
2207777,2001,5652
2207793,2001,3030
2207801,2001,16769
2207850,2001,3985
2207900,2001,36346
2207934,2001,2066
2207959,2001,4205
2208007,2001,69836
2208106,2001,11498
2208205,2001,16541
2208304,2001,25227
2208403,2001,60506
2208502,2001,10679
2208551,2001,2443
2208601,2001,3162
2208650,2001,8388
2208700,2001,7880
2208809,2001,17599
2208858,2001,4352
2208874,2001,3907
2208908,2001,5718
2209005,2001,6155
2209104,2001,5755
2209153,2001,3364
2209203,2001,6084
2209302,2001,4813
2209351,2001,4658
2209377,2001,5272
2209401,2001,5168
2209450,2001,1907
2209500,2001,3460
2209559,2001,4239
2209609,2001,3351
2209658,2001,3834
2209708,2001,6311
2209757,2001,2339
2209807,2001,4331
2209856,2001,4216
2209872,2001,4943
2209906,2001,6609
2209955,2001,4378
2209971,2001,5948
2210003,2001,17881
2210052,2001,4984
2210102,2001,3819
2210201,2001,6706
2210300,2001,5752
2210359,2001,4300
2210375,2001,2485
2210383,2001,2038
2210391,2001,2980
2210409,2001,18806
2210508,2001,12628
2210607,2001,27291
2210623,2001,4596
2210631,2001,3843
2210656,2001,9050
2210706,2001,13615
2210805,2001,11043
2210904,2001,4615
2210938,2001,5146
2210953,2001,2383
2210979,2001,2374
2211001,2001,728881
2211100,2001,40223
2211209,2001,17216
2211308,2001,20121
2211357,2001,5339
2211407,2001,4480
2211506,2001,2920
2211605,2001,2912
2211704,2001,4028
2300101,2001,8441
2300150,2001,13256
2300200,2001,49448
2300309,2001,46838
2300408,2001,14580
2300507,2001,9664
2300606,2001,5790
2300705,2001,15611
2300754,2001,33236
2300804,2001,6667
2300903,2001,12911
2301000,2001,62326
2301109,2001,62385
2301208,2001,24234
2301257,2001,10088
2301307,2001,19845
2301406,2001,12575
2301505,2001,7559
2301604,2001,21136
2301703,2001,25559
2301802,2001,5757
2301851,2001,16400
2301901,2001,48049
2301950,2001,17255
2302008,2001,20097
2302057,2001,14019
2302107,2001,30140
2302206,2001,43032
2302305,2001,28666
2302404,2001,50578
2302503,2001,38976
2302602,2001,56021
2302701,2001,25773
2302800,2001,70531
2302909,2001,15857
2303006,2001,15983
2303105,2001,18755
2303204,2001,26274
2303303,2001,18557
2303402,2001,15437
2303501,2001,58268
2303600,2001,15991
2303659,2001,9343
2303709,2001,260700
2303808,2001,24204
2303907,2001,12340
2303931,2001,12145
2303956,2001,19106
2304004,2001,20270
2304103,2001,71326
2304202,2001,106078
2304236,2001,16214
2304251,2001,20452
2304269,2001,8435
2304277,2001,6283
2304285,2001,32867
2304301,2001,20657
2304350,2001,17775
2304400,2001,2183612
2304459,2001,12383
2304509,2001,12066
2304608,2001,4780
2304657,2001,14838
2304707,2001,49322
2304806,2001,5366
2304905,2001,8817
2304954,2001,20168
2305001,2001,35535
2305100,2001,5763
2305209,2001,17648
2305233,2001,35693
2305266,2001,12811
2305308,2001,22406
2305332,2001,9530
2305357,2001,16344
2305407,2001,62743
2305506,2001,86976
2305605,2001,25395
2305654,2001,11285
2305704,2001,11551
2305803,2001,39445
2305902,2001,38586
2306009,2001,13036
2306108,2001,19859
2306207,2001,6683
2306256,2001,30001
2306306,2001,41947
2306405,2001,96437
2306504,2001,16671
2306553,2001,30952
2306603,2001,15735
2306702,2001,18098
2306801,2001,8851
2306900,2001,35386
2307007,2001,30204
2307106,2001,26770
2307205,2001,7315
2307254,2001,12843
2307304,2001,216560
2307403,2001,22799
2307502,2001,31145
2307601,2001,50548
2307635,2001,15120
2307650,2001,176741
2307700,2001,89742
2307809,2001,20386
2307908,2001,8869
2308005,2001,30240
2308104,2001,43033
2308203,2001,11450
2308302,2001,27323
2308351,2001,13131
2308377,2001,11580
2308401,2001,32569
2308500,2001,41243
2308609,2001,16445
2308708,2001,65067
2308807,2001,7110
2308906,2001,18338
2309003,2001,14029
2309102,2001,9020
2309201,2001,12168
2309300,2001,29435
2309409,2001,25957
2309458,2001,21704
2309508,2001,21935
2309607,2001,45307
2309706,2001,53591
2309805,2001,11018
2309904,2001,5722
2310001,2001,8184
2310100,2001,9980
2310209,2001,28314
2310258,2001,26004
2310308,2001,32533
2310407,2001,11033
2310506,2001,40958
2310605,2001,7086
2310704,2001,32517
2310803,2001,15201
2310852,2001,15376
2310902,2001,13135
2310951,2001,8539
2311009,2001,11817
2311108,2001,15733
2311207,2001,9210
2311231,2001,5747
2311264,2001,18515
2311306,2001,70493
2311355,2001,15584
2311405,2001,58896
2311504,2001,17231
2311603,2001,25269
2311702,2001,21691
2311801,2001,58607
2311900,2001,16297
2311959,2001,14068
2312007,2001,26655
2312106,2001,17012
2312205,2001,42588
2312304,2001,40264
2312403,2001,36301
2312502,2001,8715
2312601,2001,11602
2312700,2001,27302
2312809,2001,5629
2312908,2001,158513
2313005,2001,16974
2313104,2001,27343
2313203,2001,25928
2313252,2001,9146
2313302,2001,52010
2313351,2001,13733
2313401,2001,59744
2313500,2001,45533
2313559,2001,11668
2313609,2001,27449
2313708,2001,7394
2313757,2001,17588
2313807,2001,16810
2313906,2001,11628
2313955,2001,16983
2314003,2001,35230
2314102,2001,45924
2400109,2001,11203
2400208,2001,48381
2400307,2001,10881
2400406,2001,2723
2400505,2001,13619
2400604,2001,5098
2400703,2001,9654
2400802,2001,11602
2400901,2001,6646
2401008,2001,34502
2401107,2001,22723
2401206,2001,11345
2401305,2001,9033
2401404,2001,7881
2401453,2001,19074
2401503,2001,4032
2401602,2001,4764
2401651,2001,2776
2401701,2001,8753
2401800,2001,10592
2401859,2001,5840
2401909,2001,2897
2402006,2001,57653
2402105,2001,9156
2402204,2001,27460
2402303,2001,18615
2402402,2001,6687
2402501,2001,8268
2402600,2001,63476
2402709,2001,10875
2402808,2001,5346
2402907,2001,4698
2403004,2001,8168
2403103,2001,40843
2403202,2001,6560
2403251,2001,132237
2403301,2001,4808
2403400,2001,5690
2403509,2001,10783
2403608,2001,20106
2403707,2001,5464
2403756,2001,2635
2403806,2001,8969
2403905,2001,2990
2404002,2001,4551
2404101,2001,1823
2404200,2001,17679
2404309,2001,11909
2404408,2001,8374
2404507,2001,8399
2404606,2001,10381
2404705,2001,12008
2404804,2001,1924
2404853,2001,6428
2404903,2001,5323
2405009,2001,7773
2405108,2001,6212
2405207,2001,5552
2405306,2001,7796
2405405,2001,6348
2405504,2001,2687
2405603,2001,12241
2405702,2001,12062
2405801,2001,29641
2405900,2001,2618
2406007,2001,5953
2406106,2001,17575
2406155,2001,3218
2406205,2001,5694
2406304,2001,6567
2406403,2001,2735
2406502,2001,12209
2406601,2001,6882
2406700,2001,9483
2406809,2001,4534
2406908,2001,3248
2407005,2001,9226
2407104,2001,56207
2407203,2001,25675
2407252,2001,2970
2407302,2001,8332
2407401,2001,7689
2407500,2001,8258
2407609,2001,3752
2407708,2001,12360
2407807,2001,19239
2407906,2001,2514
2408003,2001,215610
2408102,2001,722144
2408201,2001,19613
2408300,2001,34307
2408409,2001,4446
2408508,2001,4685
2408607,2001,3640
2408706,2001,4097
2408805,2001,4366
2408904,2001,19532
2408953,2001,9392
2409100,2001,8532
2409209,2001,2722
2409308,2001,11070
2409332,2001,3892
2409407,2001,25085
2409506,2001,4071
2409605,2001,2867
2409704,2001,7592
2409803,2001,13580
2409902,2001,11442
2410009,2001,3108
2410108,2001,12474
2410207,2001,6792
2410256,2001,4202
2410306,2001,7132
2410405,2001,6962
2410504,2001,4357
2410603,2001,2945
2410702,2001,2680
2410801,2001,4227
2410900,2001,5768
2411007,2001,4370
2411056,2001,3344
2411106,2001,3736
2411205,2001,31580
2411403,2001,16162
2411429,2001,2360
2411502,2001,20210
2411601,2001,3407
2411700,2001,3233
2411809,2001,3201
2411908,2001,3566
2412005,2001,72274
2412104,2001,5694
2412203,2001,35734
2412302,2001,11994
2412401,2001,3842
2412500,2001,20333
2412559,2001,7757
2412609,2001,14065
2412708,2001,6745
2412807,2001,8244
2412906,2001,10713
2413003,2001,5706
2413102,2001,5002
2413201,2001,3379
2413300,2001,5807
2413359,2001,8257
2413409,2001,7548
2413508,2001,7419
2413557,2001,4290
2413607,2001,10592
2413706,2001,4427
2413805,2001,2024
2413904,2001,11650
2414001,2001,12347
2414100,2001,8834
2414159,2001,4543
2414209,2001,7977
2414308,2001,2219
2414407,2001,28600
2414456,2001,3653
2414506,2001,11090
2414605,2001,11282
2414704,2001,4980
2414753,2001,3483
2414803,2001,8590
2414902,2001,1548
2415008,2001,2546
2500106,2001,8396
2500205,2001,5432
2500304,2001,29041
2500403,2001,18664
2500502,2001,11917
2500536,2001,5046
2500577,2001,2243
2500601,2001,16231
2500700,2001,17667
2500734,2001,1919
2500775,2001,5992
2500809,2001,18047
2500908,2001,11727
2501005,2001,16749
2501104,2001,25891
2501153,2001,2109
2501203,2001,6027
2501302,2001,19424
2501351,2001,3020
2501401,2001,6591
2501500,2001,21633
2501534,2001,3254
2501575,2001,8341
2501609,2001,12986
2501708,2001,5180
2501807,2001,88502
2501906,2001,17573
2502003,2001,6846
2502052,2001,2602
2502102,2001,6664
2502151,2001,5084
2502201,2001,2235
2502300,2001,5158
2502409,2001,9250
2502508,2001,15876
2502607,2001,6379
2502706,2001,4780
2502805,2001,11808
2502904,2001,5894
2503001,2001,18867
2503100,2001,4291
2503209,2001,44476
2503308,2001,7899
2503407,2001,3649
2503506,2001,16722
2503555,2001,7093
2503605,2001,7314
2503704,2001,55132
2503753,2001,2816
2503803,2001,5179
2503902,2001,5510
2504009,2001,358526
2504033,2001,3892
2504074,2001,3441
2504108,2001,2200
2504157,2001,6683
2504207,2001,4698
2504306,2001,26815
2504355,2001,4230
2504405,2001,17779
2504504,2001,6388
2504603,2001,17156
2504702,2001,4611
2504801,2001,15198
2504850,2001,1444
2504900,2001,14248
2505006,2001,6358
2505105,2001,19801
2505204,2001,7288
2505238,2001,6228
2505279,2001,5376
2505303,2001,2561
2505352,2001,3661
2505402,2001,7826
2505501,2001,3128
2505600,2001,6868
2505709,2001,10263
2505808,2001,3656
2505907,2001,3045
2506004,2001,28221
2506103,2001,11735
2506202,2001,2949
2506251,2001,8478
2506301,2001,51800
2506400,2001,13207
2506509,2001,2734
2506608,2001,6363
2506707,2001,11028
2506806,2001,17426
2506905,2001,25054
2507002,2001,21287
2507101,2001,14768
2507200,2001,9409
2507309,2001,14170
2507408,2001,7435
2507507,2001,607441
2507606,2001,7051
2507705,2001,15016
2507804,2001,6004
2507903,2001,9674
2508000,2001,9991
2508109,2001,4732
2508208,2001,7021
2508307,2001,24449
2508406,2001,3099
2508505,2001,7680
2508554,2001,3404
2508604,2001,9602
2508703,2001,4007
2508802,2001,5649
